Year,Exporter,Exporter_ISO3,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_ISO3,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2024,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Submarine,Offensive,63.5,22,Offset Agreement,No,16,64470,8.8,5.8,No,No,Low,3.3,Accelerating,No,Medium
2012,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,199.8,66,Foreign Military Sales,No,38,38316,8.6,8.1,No,Yes,Low,1.5,Stable,No,Low
2022,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,APC,Defensive,47.4,53,Foreign Military Sales,No,26,24698,4.3,2.0,Yes,No,High,5.9,Stable,No,High
2023,United States,USA,North America,NATO,Yes,India,IND,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,223.7,72,Bilateral Defence Pact,No,18,2304,4.9,6.7,Yes,Yes,Low,2.5,Declining,No,High
2007,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,317.6,12,Foreign Military Sales,Yes,9,52347,8.0,8.6,No,No,Medium,2.1,Accelerating,No,Medium
2018,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,81.1,68,Bilateral Defence Pact,Yes,32,3530,2.2,5.3,Yes,Yes,Low,4.6,Accelerating,No,High
2006,United States,USA,North America,NATO,Yes,Romania,ROU,Europe & Central Asia,Sensors & Electronics,C4ISR Package,Defensive,29.4,16,Direct Commercial Sale,No,30,14515,6.1,6.4,No,No,Low,2.6,Stable,No,Low
2005,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Combat Aircraft,Trainer/Light Combat,Defensive,539.3,24,Foreign Military Sales,No,28,4819,2.3,3.6,Yes,Yes,High,3.5,Stable,No,High
2007,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,359.5,54,Government-to-Government,Yes,43,30539,6.9,8.9,No,Yes,Low,2.4,Accelerating,No,Medium
2015,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Frigate,Offensive,327.4,22,Bilateral Defence Pact,Yes,26,22043,4.0,1.6,Yes,No,High,5.7,Stable,No,High
2012,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Small Arms & Light Weapons,Sniper System,Offensive,18.3,475,Multilateral Programme,No,43,4041,2.7,5.3,Yes,Yes,Low,4.2,Stable,No,High
2017,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,743.2,14,Foreign Military Sales,Yes,20,33657,7.1,8.9,No,Yes,Low,2.2,Declining,No,Low
2010,United States,USA,North America,NATO,Yes,Mexico,MEX,Latin America & Caribbean,Artillery & Ammunition,MLRS,Offensive,244.8,48,Government-to-Government,No,23,9731,4.1,5.7,No,No,Medium,0.3,Stable,No,Low
2019,United States,USA,North America,NATO,Yes,Chile,CHL,Latin America & Caribbean,Naval Vessels,Patrol Boat,Defensive,181.3,19,Foreign Military Sales,No,45,14567,6.5,8.2,No,No,Medium,2.1,Stable,No,Low
2008,United States,USA,North America,NATO,Yes,Thailand,THA,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,137.8,69,Government-to-Government,Yes,21,6672,5.0,4.5,No,No,Low,1.6,Stable,No,Low
2012,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Naval Vessels,Corvette,Offensive,320.0,16,Bilateral Defence Pact,No,10,33439,7.4,8.0,No,Yes,Low,2.8,Stable,No,Medium
2010,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,16.3,55,Bilateral Defence Pact,No,45,32243,7.1,9.1,No,Yes,Low,2.1,Declining,No,Low
2007,United States,USA,North America,NATO,Yes,Thailand,THA,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,65.6,17,Direct Commercial Sale,No,27,7569,5.0,4.5,No,No,Low,1.3,Stable,No,Low
2017,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Small Arms & Light Weapons,ATGM,Offensive,43.4,274,Bilateral Defence Pact,No,14,30368,7.6,7.9,No,Yes,Low,2.5,Stable,No,Medium
2006,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,111.6,114,Bilateral Defence Pact,Yes,46,51061,8.0,8.6,No,No,Medium,1.7,Accelerating,No,Medium
2017,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,43.0,46,Offset Agreement,No,21,43509,6.7,2.3,Yes,No,High,5.6,Accelerating,No,High
2016,United States,USA,North America,NATO,Yes,Ukraine,UKR,Europe & Central Asia,Armoured Vehicles,Main Battle Tank,Offensive,43.1,8,Offset Agreement,No,32,3927,2.4,5.6,Yes,Yes,Low,4.4,Accelerating,No,High
2012,United States,USA,North America,NATO,Yes,Qatar,QAT,Middle East & North Africa,Combat Aircraft,Multi-Role Aircraft,Offensive,225.7,17,Foreign Military Sales,No,21,57055,6.7,2.1,No,No,High,1.4,Accelerating,No,Medium
2018,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Helicopters,Attack Helicopter,Offensive,18.1,3,Government-to-Government,No,24,16228,6.8,6.9,No,No,Low,4.1,Stable,No,Low
2010,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Missiles & Air Defence,MANPADS,Defensive,192.5,55,Foreign Military Sales,Yes,28,24114,4.0,2.0,Yes,No,High,5.9,Accelerating,No,High
2019,United States,USA,North America,NATO,Yes,India,IND,South Asia,Armoured Vehicles,Main Battle Tank,Offensive,30.4,115,Direct Commercial Sale,Yes,37,2630,4.7,6.5,Yes,Yes,Low,2.5,Stable,No,Medium
2008,United States,USA,North America,NATO,Yes,Nigeria,NGA,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,129.8,61,Government-to-Government,No,37,2140,2.7,4.0,Yes,Yes,High,0.5,Stable,No,High
2020,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,21.0,12,Government-to-Government,No,31,55208,8.1,8.7,No,No,Medium,2.0,Accelerating,No,Low
2019,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Armoured Vehicles,APC,Defensive,128.1,112,Foreign Military Sales,Yes,16,45387,6.7,2.6,Yes,No,High,5.7,Stable,No,Medium
2020,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,154.9,10,Direct Commercial Sale,Yes,18,4821,2.1,3.4,Yes,Yes,High,3.6,Accelerating,No,High
2024,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Artillery & Ammunition,MLRS,Offensive,22.2,74,Government-to-Government,Yes,37,20982,6.4,7.4,No,Yes,Low,3.9,Stable,No,Medium
2008,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,99.1,33,Multilateral Programme,No,25,65665,9.0,5.8,No,No,Low,3.0,Stable,No,Low
2018,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Helicopters,Naval Helicopter,Defensive,151.8,13,Bilateral Defence Pact,No,41,66097,8.9,6.1,No,No,Low,3.3,Stable,No,Low
2017,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,195.1,82,Bilateral Defence Pact,Yes,17,31096,7.6,8.0,No,Yes,Low,2.5,Accelerating,No,High
2016,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Sensors & Electronics,C4ISR Package,Defensive,12.6,27,Bilateral Defence Pact,No,19,30045,7.2,8.1,No,Yes,Low,2.5,Stable,No,Low
2012,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Sensors & Electronics,Radar System,Defensive,56.3,25,Bilateral Defence Pact,No,10,6384,3.7,5.8,Yes,No,Medium,3.1,Accelerating,No,High
2015,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Helicopters,Naval Helicopter,Defensive,79.3,16,Offset Agreement,No,6,6313,3.9,5.9,Yes,No,Medium,3.2,Declining,No,Medium
2012,United States,USA,North America,NATO,Yes,Brazil,BRA,Latin America & Caribbean,Armoured Vehicles,Main Battle Tank,Offensive,44.7,95,Foreign Military Sales,No,25,9053,5.7,6.9,No,No,Medium,1.4,Stable,No,Low
2017,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,64.0,44,Foreign Military Sales,Yes,47,4718,1.9,3.4,Yes,Yes,High,3.4,Declining,No,High
2023,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Helicopters,Naval Helicopter,Defensive,81.8,11,Government-to-Government,No,43,43160,6.7,2.5,Yes,No,High,5.7,Stable,No,Medium
2005,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Small Arms & Light Weapons,Sniper System,Offensive,8.4,100,Offset Agreement,Yes,29,3738,4.1,2.9,Yes,No,Low,1.2,Declining,No,High
2008,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,41.9,55,Government-to-Government,No,33,6583,3.8,6.1,Yes,No,Medium,3.2,Accelerating,No,Medium
2018,United States,USA,North America,NATO,Yes,India,IND,South Asia,Armoured Vehicles,APC,Defensive,37.9,83,Government-to-Government,No,43,2455,4.9,6.6,Yes,Yes,Low,2.5,Accelerating,No,Medium
2014,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,47.0,58,Government-to-Government,No,43,68829,8.9,5.9,No,No,Low,3.3,Accelerating,No,Low
2008,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Armoured Vehicles,Main Battle Tank,Offensive,375.0,77,Foreign Military Sales,Yes,29,6815,3.9,5.8,Yes,No,Medium,3.2,Declining,No,Medium
2022,United States,USA,North America,NATO,Yes,Iraq,IRQ,Middle East & North Africa,Armoured Vehicles,MRAP,Defensive,178.8,35,Government-to-Government,Yes,31,4677,2.0,3.4,Yes,Yes,High,3.4,Declining,No,High
2016,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,158.6,1,Bilateral Defence Pact,No,11,33137,7.2,8.0,No,Yes,Low,2.6,Stable,No,Low
2009,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Combat Aircraft,UAV/Drone,Offensive,414.2,7,Offset Agreement,Yes,34,30875,7.0,8.9,No,Yes,Low,2.4,Accelerating,No,Medium
2022,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Patrol Boat,Defensive,110.6,1,Multilateral Programme,Yes,16,24201,4.3,1.7,Yes,No,High,6.2,Stable,No,High
2016,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Small Arms & Light Weapons,Sniper System,Offensive,11.1,300,Offset Agreement,No,33,16769,6.7,7.0,No,No,Low,3.6,Stable,No,Low
2009,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Corvette,Offensive,92.7,7,Bilateral Defence Pact,No,8,21839,4.0,1.8,Yes,No,High,5.7,Accelerating,No,High
2017,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Small Arms & Light Weapons,Grenade Launcher Batch,Offensive,7.7,224,Government-to-Government,Yes,13,3541,3.8,3.0,Yes,No,Low,1.3,Declining,No,Medium
2011,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,354.2,5,Government-to-Government,Yes,21,45354,6.7,2.3,Yes,No,High,5.4,Accelerating,No,High
2018,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Naval Vessels,Frigate,Offensive,341.8,18,Offset Agreement,Yes,33,37291,8.2,8.2,No,Yes,Low,1.3,Stable,No,Medium
2019,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,159.0,68,Offset Agreement,No,44,16709,6.8,6.8,No,No,Low,3.7,Stable,No,Low
2006,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Naval Vessels,Frigate,Offensive,596.8,13,Bilateral Defence Pact,Yes,16,24265,4.1,1.9,Yes,No,High,6.3,Stable,No,High
2013,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,60.1,20,Bilateral Defence Pact,No,33,23852,4.1,1.8,Yes,No,High,5.7,Accelerating,No,High
2009,United States,USA,North America,NATO,Yes,Morocco,MAR,Middle East & North Africa,Artillery & Ammunition,MLRS,Offensive,165.7,78,Government-to-Government,Yes,33,3598,4.4,3.7,No,Yes,Medium,2.9,Declining,No,Low
2012,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,121.1,23,Government-to-Government,No,23,32387,7.3,8.0,No,Yes,Low,2.6,Stable,No,Low
2022,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,275.6,16,Government-to-Government,Yes,14,57154,8.1,8.6,No,No,Medium,2.0,Accelerating,No,Low
2021,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,1112.0,9,Foreign Military Sales,Yes,46,42974,6.7,2.6,Yes,No,High,5.3,Stable,No,Medium
2012,United States,USA,North America,NATO,Yes,Norway,NOR,Europe & Central Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,168.1,24,Government-to-Government,No,39,82875,8.9,9.9,No,No,High,1.7,Stable,No,Medium
2023,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Armoured Vehicles,IFV,Offensive,65.0,108,Foreign Military Sales,No,11,40574,8.2,8.2,No,Yes,Low,1.0,Stable,No,Low
2014,United States,USA,North America,NATO,Yes,India,IND,South Asia,Naval Vessels,Frigate,Offensive,165.2,9,Government-to-Government,Yes,45,2568,5.0,6.8,Yes,Yes,Low,2.1,Accelerating,No,Medium
2024,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Mortar System,Offensive,76.6,14,Foreign Military Sales,No,36,21649,4.3,1.7,Yes,No,High,5.7,Accelerating,No,High
2015,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,85.0,16,Bilateral Defence Pact,No,14,23957,4.1,1.8,Yes,No,High,5.8,Declining,No,High
2011,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,574.5,18,Bilateral Defence Pact,Yes,7,46201,6.8,2.6,Yes,No,High,5.7,Stable,No,High
2007,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,113.4,60,Foreign Military Sales,No,29,45237,7.0,2.4,Yes,No,High,5.8,Accelerating,No,High
2023,United States,USA,North America,NATO,Yes,India,IND,South Asia,Small Arms & Light Weapons,Sniper System,Offensive,9.7,160,Bilateral Defence Pact,No,23,2427,5.0,6.8,Yes,Yes,Low,2.3,Declining,No,Medium
2014,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Helicopters,Attack Helicopter,Offensive,174.5,23,Government-to-Government,No,39,18604,6.0,7.2,No,Yes,Low,3.7,Accelerating,No,Medium
2011,United States,USA,North America,NATO,Yes,Mexico,MEX,Latin America & Caribbean,Helicopters,Naval Helicopter,Defensive,125.2,7,Foreign Military Sales,No,9,10200,3.9,5.5,No,No,Medium,0.7,Declining,No,Low
2020,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Sensors & Electronics,C4ISR Package,Defensive,65.5,21,Government-to-Government,No,42,43076,6.9,2.5,Yes,No,High,5.8,Declining,No,Medium
2024,United States,USA,North America,NATO,Yes,South Korea,KOR,East Asia & Pacific,Small Arms & Light Weapons,Sniper System,Offensive,50.0,366,Bilateral Defence Pact,No,29,30153,7.6,7.9,No,Yes,Low,2.5,Accelerating,No,Medium
2019,United States,USA,North America,NATO,Yes,Colombia,COL,Latin America & Caribbean,Sensors & Electronics,Targeting Pod,Offensive,101.4,13,Bilateral Defence Pact,No,37,7015,4.1,5.9,Yes,No,Medium,2.9,Stable,No,High
2018,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Missiles & Air Defence,Cruise Missile,Offensive,413.1,32,Foreign Military Sales,Yes,32,38400,8.2,8.2,No,Yes,Low,1.3,Stable,No,Medium
2007,United States,USA,North America,NATO,Yes,Egypt,EGY,Middle East & North Africa,Sensors & Electronics,Radar System,Defensive,28.6,16,Bilateral Defence Pact,No,26,3590,3.9,2.7,Yes,No,Low,1.5,Stable,No,High
2020,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,448.9,67,Foreign Military Sales,No,27,24186,4.4,1.9,Yes,No,High,6.2,Stable,No,High
2005,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Artillery & Ammunition,Self-Propelled Howitzer,Offensive,63.8,60,Government-to-Government,No,46,23918,4.5,1.6,Yes,No,High,5.8,Stable,No,High
2021,United States,USA,North America,NATO,Yes,Chile,CHL,Latin America & Caribbean,Missiles & Air Defence,Anti-Ship Missile,Offensive,125.2,40,Multilateral Programme,No,35,15667,6.5,8.2,No,No,Medium,1.8,Declining,No,Low
2012,United States,USA,North America,NATO,Yes,Indonesia,IDN,East Asia & Pacific,Armoured Vehicles,APC,Defensive,71.8,118,Foreign Military Sales,No,19,4441,5.1,6.5,No,Yes,Medium,0.6,Accelerating,No,Medium
2024,United States,USA,North America,NATO,Yes,Qatar,QAT,Middle East & North Africa,Helicopters,Attack Helicopter,Offensive,65.7,24,Government-to-Government,No,27,60533,6.9,2.0,No,No,High,1.4,Declining,No,Low
2024,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Helicopters,Transport Helicopter,Defensive,326.1,16,Direct Commercial Sale,No,28,30281,7.4,8.7,No,Yes,Low,2.4,Accelerating,No,Medium
2016,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Combat Aircraft,Trainer/Light Combat,Defensive,1037.1,16,Foreign Military Sales,Yes,21,51617,8.4,8.7,No,No,Medium,1.7,Declining,No,Low
2011,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,46.8,72,Direct Commercial Sale,No,37,56683,8.0,8.6,No,No,Medium,2.0,Stable,No,Low
2013,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,37.2,19,Foreign Military Sales,No,28,38554,8.8,8.3,No,Yes,Low,1.1,Accelerating,No,Medium
2017,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,52.9,26,Foreign Military Sales,No,21,44894,6.7,2.6,Yes,No,High,5.4,Accelerating,No,High
2013,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Naval Vessels,Corvette,Offensive,398.7,11,Foreign Military Sales,Yes,19,66783,9.3,6.0,No,No,Low,3.4,Stable,No,Low
2021,United States,USA,North America,NATO,Yes,Qatar,QAT,Middle East & North Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,352.0,77,Government-to-Government,No,32,62042,6.8,2.0,No,No,High,1.5,Stable,No,Medium
2022,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Sensors & Electronics,C4ISR Package,Defensive,23.8,10,Direct Commercial Sale,No,43,38094,8.5,8.0,No,Yes,Low,1.2,Accelerating,No,Medium
2006,United States,USA,North America,NATO,Yes,Romania,ROU,Europe & Central Asia,Missiles & Air Defence,SAM System,Defensive,139.6,18,Foreign Military Sales,No,16,13418,5.8,6.3,No,No,Low,2.1,Declining,No,Low
2014,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Armoured Vehicles,MRAP,Defensive,39.4,53,Foreign Military Sales,Yes,25,20266,6.2,7.2,No,Yes,Low,3.6,Stable,No,Low
2009,United States,USA,North America,NATO,Yes,UAE,ARE,Middle East & North Africa,Sensors & Electronics,Targeting Pod,Offensive,202.8,14,Offset Agreement,No,7,45870,6.8,2.4,Yes,No,High,5.6,Accelerating,No,High
2007,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,468.9,8,Bilateral Defence Pact,Yes,6,15779,6.9,7.1,No,No,Low,3.9,Stable,No,Low
2010,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Artillery & Ammunition,MLRS,Offensive,83.3,79,Bilateral Defence Pact,No,25,30546,7.5,9.0,No,Yes,Low,2.6,Stable,No,Medium
2021,United States,USA,North America,NATO,Yes,Japan,JPN,East Asia & Pacific,Sensors & Electronics,EW Suite,Defensive,25.4,2,Direct Commercial Sale,No,41,37144,8.2,8.0,No,Yes,Low,1.1,Stable,No,Medium
2019,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,India,IND,South Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,213.0,50,Direct Commercial Sale,No,20,2477,5.1,6.5,Yes,Yes,Low,2.4,Declining,No,Low
2021,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Indonesia,IDN,East Asia & Pacific,Combat Aircraft,UAV/Drone,Offensive,183.3,23,Foreign Military Sales,No,28,3970,4.9,6.4,No,Yes,Medium,0.7,Stable,No,Medium
2021,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Missiles & Air Defence,Anti-Ship Missile,Offensive,104.5,63,Government-to-Government,No,12,1843,2.7,2.6,No,No,High,1.8,Accelerating,No,Medium
2014,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Iraq,IRQ,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,27.1,95,Offset Agreement,Yes,13,4418,2.3,3.6,Yes,Yes,High,3.7,Accelerating,No,High
2021,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Egypt,EGY,Middle East & North Africa,Helicopters,Attack Helicopter,Offensive,600.0,6,Government-to-Government,Yes,38,3283,3.9,2.8,Yes,No,Low,1.5,Declining,No,Medium
2016,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Kazakhstan,KAZ,Europe & Central Asia,Missiles & Air Defence,Anti-Ship Missile,Offensive,164.1,22,Offset Agreement,Yes,28,9095,4.8,3.1,No,No,High,1.0,Stable,No,Medium
2019,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Armoured Vehicles,Main Battle Tank,Offensive,91.8,109,Bilateral Defence Pact,No,43,1860,2.7,2.4,No,No,High,1.8,Stable,No,Medium
2020,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Small Arms & Light Weapons,ATGM,Offensive,24.7,386,Government-to-Government,No,12,3742,3.6,3.4,No,Yes,High,5.5,Accelerating,No,High
2006,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Missiles & Air Defence,Cruise Missile,Offensive,255.2,40,Bilateral Defence Pact,Yes,43,3481,3.2,3.3,No,Yes,High,5.0,Stable,No,Medium
2018,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Iraq,IRQ,Middle East & North Africa,Armoured Vehicles,Main Battle Tank,Offensive,47.1,34,Direct Commercial Sale,No,22,4998,1.7,3.4,Yes,Yes,High,3.2,Stable,No,High
2007,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Egypt,EGY,Middle East & North Africa,Naval Vessels,Submarine,Offensive,180.9,17,Direct Commercial Sale,Yes,37,3583,3.8,2.8,Yes,No,Low,1.6,Stable,No,High
2022,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Egypt,EGY,Middle East & North Africa,Artillery & Ammunition,Guided Munitions,Offensive,54.5,35,Bilateral Defence Pact,Yes,43,3367,3.8,2.9,Yes,No,Low,1.1,Stable,No,Medium
2022,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,India,IND,South Asia,Armoured Vehicles,IFV,Offensive,22.7,111,Foreign Military Sales,No,25,2392,4.6,6.7,Yes,Yes,Low,2.2,Stable,No,Medium
2016,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,India,IND,South Asia,Small Arms & Light Weapons,Assault Rifle Batch,Offensive,39.7,157,Offset Agreement,No,46,2586,4.9,6.4,Yes,Yes,Low,2.5,Accelerating,No,High
2010,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Small Arms & Light Weapons,ATGM,Offensive,42.1,375,Multilateral Programme,No,8,2140,3.1,2.4,No,No,High,1.3,Stable,No,Medium
2021,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Bangladesh,BGD,South Asia,Artillery & Ammunition,Mortar System,Offensive,51.8,18,Bilateral Defence Pact,No,37,2272,3.8,4.7,No,No,Low,1.1,Declining,No,Low
2007,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Algeria,DZA,Middle East & North Africa,Helicopters,Attack Helicopter,Offensive,120.5,24,Government-to-Government,No,19,3411,3.6,3.1,No,Yes,High,5.1,Stable,No,High
2006,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,India,IND,South Asia,Combat Aircraft,Multi-Role Aircraft,Offensive,736.2,22,Bilateral Defence Pact,No,17,2591,4.9,6.8,Yes,Yes,Low,2.2,Stable,No,Medium
2016,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Vietnam,VNM,East Asia & Pacific,Naval Vessels,Submarine,Offensive,109.3,13,Foreign Military Sales,Yes,31,3646,5.7,2.9,No,Yes,Low,2.4,Stable,No,Low
2012,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Vietnam,VNM,East Asia & Pacific,Combat Aircraft,Multi-Role Aircraft,Offensive,416.2,20,Bilateral Defence Pact,Yes,30,3631,5.4,2.9,No,Yes,Low,2.1,Stable,No,Medium
2018,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,India,IND,South Asia,Helicopters,Naval Helicopter,Defensive,103.8,17,Multilateral Programme,No,27,2623,4.7,6.7,Yes,Yes,Low,2.2,Declining,No,Medium
2023,Russia,RUS,Europe & Central Asia,Non-Aligned,Yes,Angola,AGO,Sub-Saharan Africa,Armoured Vehicles,IFV,Offensive,112.7,86,Foreign Military Sales,Yes,43,1887,3.2,2.6,No,No,High,1.6,Accelerating,No,Medium
